"area","price","MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Lot.Shape","Land.Contour","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Garage.Type","Garage.Yr.Blt","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition"
1656,215000,20,"RL",141,31770,"Pave","IR1","Lvl","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","SomeAggedLvls","SomeAggedLvls","SomeAggedLvls",112,"TA","TA","CBlock","TA","SomeAggedLvls","SomeAggedLvls",639,0,441,1080,"GasA","SomeAggedLvls","Y",1656,0,0,1,0,1,0,3,1,"TA",7,"Typ",2,"Attchd",1960,"Fin",2,528,"TA","TA","SomeAggedLvls",210,62,0,0,0,0,0,5,2010,"WD ","Normal"
896,105000,20,"SomeAggedLvls",80,11622,"Pave","Reg","Lvl","Inside","Gtl","NAmes","SomeAggedLvls","Norm","1Fam","1Story",5,6,1961,1961,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","SomeAggedLvls",468,144,270,882,"GasA","TA","Y",896,0,0,0,0,1,0,2,1,"TA",5,"Typ",0,"Attchd",1961,"Unf",1,730,"TA","TA","Y",140,0,0,0,120,0,0,6,2010,"WD ","Normal"
1329,172000,20,"RL",81,14267,"Pave","IR1","Lvl","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,6,1958,1958,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",108,"TA","TA","CBlock","TA","TA","ALQ",923,0,406,1329,"GasA","TA","Y",1329,0,0,0,0,1,1,3,1,"Gd",6,"Typ",0,"Attchd",1958,"Unf",1,312,"TA","TA","Y",393,36,0,0,0,0,12500,6,2010,"WD ","Normal"
2110,244000,20,"RL",93,11160,"Pave","Reg","Lvl","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",7,5,1968,1968,"Hip","CompShg","SomeAggedLvls","SomeAggedLvls","None",0,"Gd","TA","CBlock","TA","TA","ALQ",1065,0,1045,2110,"GasA","Ex","Y",2110,0,0,1,0,2,1,3,1,"SomeAggedLvls",8,"Typ",2,"Attchd",1968,"Fin",2,522,"TA","TA","Y",0,0,0,0,0,0,0,4,2010,"WD ","Normal"
1629,189900,60,"RL",74,13830,"Pave","IR1","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","1Fam","2Story",5,5,1997,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","GLQ",791,0,137,928,"GasA","Gd","Y",928,701,0,0,0,2,1,3,1,"TA",6,"Typ",1,"Attchd",1997,"Fin",2,482,"TA","TA","Y",212,34,0,0,0,0,0,3,2010,"WD ","Normal"
1604,195500,60,"RL",78,9978,"Pave","IR1","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","1Fam","2Story",6,6,1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",20,"TA","TA","PConc","TA","TA","GLQ",602,0,324,926,"GasA","Ex","Y",926,678,0,0,0,2,1,3,1,"Gd",7,"Typ",1,"Attchd",1998,"Fin",2,470,"TA","TA","Y",360,36,0,0,0,0,0,6,2010,"WD ","Normal"
1338,213500,120,"RL",41,4920,"Pave","Reg","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","SomeAggedLvls","1Story",8,5,2001,2001,"Gable","CompShg","SomeAggedLvls","SomeAggedLvls","None",0,"Gd","TA","PConc","Gd","TA","GLQ",616,0,722,1338,"GasA","Ex","Y",1338,0,0,1,0,2,0,2,1,"Gd",6,"Typ",0,"Attchd",2001,"Fin",2,582,"TA","TA","Y",0,0,170,0,0,0,0,4,2010,"WD ","Normal"
1280,191500,120,"RL",43,5005,"Pave","IR1","SomeAggedLvls","Inside","Gtl","SomeAggedLvls","Norm","Norm","SomeAggedLvls","1Story",8,5,1992,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","ALQ",263,0,1017,1280,"GasA","Ex","Y",1280,0,0,0,0,2,0,2,1,"Gd",5,"Typ",0,"Attchd",1992,"RFn",2,506,"TA","TA","Y",0,82,0,0,144,0,0,1,2010,"WD ","Normal"
1616,236500,120,"RL",39,5389,"Pave","IR1","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","SomeAggedLvls","1Story",8,5,1995,1996,"Gable","CompShg","SomeAggedLvls","SomeAggedLvls","None",0,"Gd","TA","PConc","Gd","TA","GLQ",1180,0,415,1595,"GasA","Ex","Y",1616,0,0,1,0,2,0,2,1,"Gd",5,"Typ",1,"Attchd",1995,"RFn",2,608,"TA","TA","Y",237,152,0,0,0,0,0,3,2010,"WD ","Normal"
1804,189000,60,"RL",60,7500,"Pave","Reg","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","1Fam","2Story",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","Unf",0,0,994,994,"GasA","Gd","Y",1028,776,0,0,0,2,1,3,1,"Gd",7,"Typ",1,"Attchd",1999,"Fin",2,442,"TA","TA","Y",140,60,0,0,0,0,0,6,2010,"WD ","Normal"
1655,175900,60,"RL",75,10000,"Pave","IR1","Lvl","Corner","Gtl","SomeAggedLvls","Norm","Norm","1Fam","2Story",6,5,1993,1994,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","Unf",0,0,763,763,"GasA","Gd","Y",763,892,0,0,0,2,1,3,1,"TA",7,"Typ",1,"Attchd",1993,"Fin",2,440,"TA","TA","Y",157,84,0,0,0,0,0,4,2010,"WD ","Normal"
1465,180400,60,"RL",63,8402,"Pave","IR1","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","1Fam","2Story",6,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Unf",0,0,789,789,"GasA","Gd","Y",789,676,0,0,0,2,1,3,1,"TA",7,"Typ",1,"Attchd",1998,"Fin",2,393,"TA","TA","Y",0,75,0,0,0,0,0,5,2010,"WD ","Normal"
1341,171500,20,"RL",85,10176,"Pave","Reg","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","1Fam","1Story",7,5,1990,1990,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","GLQ",637,0,663,1300,"GasA","Gd","Y",1341,0,0,1,0,1,1,2,1,"Gd",5,"Typ",1,"Attchd",1990,"Unf",2,506,"TA","TA","Y",192,0,0,0,0,0,0,2,2010,"WD ","Normal"
